method,test_acc,val_acc,params,seed,notes
Linear Probe (CSBrain),0.1138,0.1083,2010,42,"Frozen CSBrain -> mean pool -> Linear(200,10)"
No Q-Former (MLP only),0.1081,0.1108,1097738,42,Frozen CSBrain -> token MLP -> mean pool -> Linear head; no transformer/cross-attn
